"Story","Title","Result","Date","Stability","Duration (s)"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-11-06T22:04:15.179Z[Etc/UTC]","0.0","0.67"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-11-06T22:04:15.864Z[Etc/UTC]","0.0","1.08"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-11-06T22:04:16.958Z[Etc/UTC]","0.0","0.97"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-11-06T22:04:17.939Z[Etc/UTC]","0.0","0.65"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-11-06T22:04:18.593Z[Etc/UTC]","0.0","0.53"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-11-06T22:04:19.129Z[Etc/UTC]","0.0","0.76"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-11-06T22:04:19.901Z[Etc/UTC]","0.0","1.09"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-11-06T22:04:23.977Z[Etc/UTC]","0.0","1.79"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-11-06T22:04:25.783Z[Etc/UTC]","0.0","1.07"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-11-06T22:04:26.869Z[Etc/UTC]","0.0","1.49"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-11-06T22:04:28.372Z[Etc/UTC]","0.0","0.91"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-11-06T22:04:29.288Z[Etc/UTC]","0.0","0.79"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-11-06T22:04:30.092Z[Etc/UTC]","0.0","1.0"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-11-06T22:04:31.105Z[Etc/UTC]","0.0","1.27"
"API Testing","JSON Placeholder /todos should retrieve a todo item by id","SUCCESS","2023-11-06T22:04:38.753Z[Etc/UTC]","0.0","2.28"
"Blended Testing","GitHub Pages should check the state of the system before interacting with the UI","SUCCESS","2023-11-06T22:04:41.054Z[Etc/UTC]","0.0","2.28"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-11-06T22:04:43.342Z[Etc/UTC]","0.0","2.21"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-11-06T22:04:45.556Z[Etc/UTC]","0.0","1.22"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-11-06T22:04:46.8Z[Etc/UTC]","0.0","0.97"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-11-06T22:04:47.775Z[Etc/UTC]","0.0","1.22"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-11-06T22:04:49.017Z[Etc/UTC]","0.0","1.55"
